Titre Article;Source;Date;Pays;Journal;Texte Article;Domaine;Isclimate;Prédiction
Le plus grand camp de migrants de Calais démantelé, 537 personnes mises à l’abri;https://www.ouest-france.fr/monde/migrants/le-plus-grand-camp-de-migrants-de-calais-demantele-537-personnes-mises-a-labri-dde16d6a-6766-11ee-a5bb-3c3a0f3f3a5e?utm_source=fluxpublicactu&utm_medium=fluxrss&utm_campaign=banquedecontenu;2023-10-10 15:23:05;France;Ouest France;À Calais, ce mardi 10 octobre, 700 migrants ont été évacués du camp de la Turquerie. Près de 540 d’entre eux ont accepté d’être hébergés et 21 ont été interpellés.;;;FALSE
Attaque en Israël. Pourquoi les otages ont toujours occupé une place centrale dans les conflits;https://www.ouest-france.fr/monde/israel/attaque-en-israel-pourquoi-les-otages-ont-toujours-occupe-une-place-centrale-dans-les-conflits-98d35736-66aa-11ee-9659-698a0c40ce91?utm_source=fluxpublicactu&utm_medium=fluxrss&utm_campaign=banquedecontenu;2023-10-10 15:18:03;France;Ouest France;Le Hamas menace d’exécuter les 150 otages kidnappés samedi durant son attaque surprise contre Israël. Depuis l’Antiquité, les otages ont été utilisés en diplomatie et lors de conflits armés. Retour en arrière sur l’utilisation des otages dans l’histoire, jusqu’à son rôle dans le conflit israélo-palestinien.;;;FALSE
REPORTAGE. Évacués, ces Israéliens ont le sentiment que le Hamas a gagné;https://www.ouest-france.fr/monde/israel/evacues-ces-israeliens-ont-le-sentiment-que-le-hamas-a-gagne-885016f6-66c3-11ee-9b96-3fdf5fbacb17?utm_source=fluxpublicactu&utm_medium=fluxrss&utm_campaign=banquedecontenu;2023-10-10 15:09:12;France;Ouest France;Ils ont quitté leurs villages situés près de la bande de Gaza et attaqués par les commandos du Hamas. Réfugiés à 180 km dans des hôtels, près de la mer Morte, ces habitants ont peur de ne jamais plus pouvoir revenir.;;;FALSE
Le Parti animaliste en lice aux élections européennes;https://www.ouest-france.fr/elections/europeennes/le-parti-animaliste-en-lice-aux-europeennes-b2910c80-6746-11ee-8a72-42dbd1a75b19?utm_source=fluxpublicactu&utm_medium=fluxrss&utm_campaign=banquedecontenu;2023-10-10 14:25:45;France;Ouest France;Fort des 2,17 % obtenus il y a quatre ans, le parti animaliste espère envoyer trois députés au Parlement européen de Bruxelles et Strasbourg.;;;FALSE
Montagne. « Nous avons perdu autant de glace en deux ans qu’entre 1960 et 1990 » : 2023, deuxième pire année pour les glaciers suisses;https://www.ledauphine.com/environnement/2023/10/08/nous-avons-perdu-autant-de-glace-en-deux-ans-qu-entre-1960-et-1990-2023-deuxieme-pire-annee-pour-les-glaciers-suisses;2023-10-08 16:51:00;France;LeDauphine.fr;Après une année 2022 record qui avait vu la fonte de 6 % du volume des glaciers suisses, l’année 2023 est à peine meilleure selon les observations du réseau Glamos : 4 % ont à nouveau fondu. Les mêmes causes sont à l’œuvre, peu d’enneigement hivernal, et fortes températures estivales…;"Environnement; Météorologie - Climat; Réchauffement climatique; Frontaliers; Haute-Savoie; Frontaliers; Ain; Annemasse; Annemasse-bassin; Edition Grand Genève / Chablais / Ain; Suisse; France - Monde; Montagne; Info Premium; Fil Info";1;FALSE
Plan-les-Ouates (Genève). Trois jours d’immersion dans l’économie horlogère genevoise;https://www.ledauphine.com/economie/2023/10/08/cette-fin-de-semaine-trois-jours-d-immersion-dans-l-economie-horlogere-genevoise;2023-10-08 16:50:00;France;LeDauphine.fr;Après 2021, le monde de l’horlogerie de Plan-les-Ouates refait ses portes ouvertes de jeudi à samedi avec l’opération “Autour du temps”. Au programme, visites d’entreprises, ateliers de montage et plein d’autres animations.;"Economie; Innovation et Start-Up; Artisanat; Annemasse; Annemasse-bassin; Edition Grand Genève / Chablais / Ain; Haute-Savoie; Frontaliers; Ain; Frontaliers";;FALSE
Rallye. Coupe de France : les deux Savoie, Ardèche, Drôme, Isère, Hautes-Alpes, Vaucluse... Découvrez le programme des rallyes régionaux et nationaux 2023-24 en Rhône-Alpes/Paca;https://www.ledauphine.com/sport/2023/09/22/coupe-de-france-mont-blanc-decouvrez-le-programme-des-rallyes-regionaux-et-nationaux-2023-24-en-rhone-alpes-vaucluse;2023-10-08 15:05:00;France;LeDauphine.fr;Le week-end du 23 et 24 septembre marque le début de la campagne « qualification » pour la finale de la Coupe de France des rallyes 2024. Un événement annuel à aller chercher pour tous les pilotes amateurs. Nous vous proposons de suivre l'exercice 2023-24 à travers toutes les épreuves rhônalpines et vauclusiennes et haut-alpines.;"Sport; Auto-Moto; Sport national; Fil Info; Edition Annecy / Rumilly / Les Aravis; Faverges-Seythenex; Edition Annonay / Nord Ardèche; Edition Aubenas / Privas / Vallée du Rhône; Ruoms; Edition Bourgoin-Jallieu / Nord-Dauphiné; Edition Chambéry / Aix-les-Bains; Edition Grand Genève / Chablais / Ain; Edition Grenoble / Agglomération; Edition Grésivaudan / Oisans; Vif; Edition Hautes-Alpes / Alpes de Haute-Provence; Dévoluy; Edition La Tour-du-Pin / Nord-Dauphiné; Edition Mont-Blanc / Arve; La Roche-sur-Foron; Edition Montélimar / Drôme Provençale; Edition Provençale; Sarrians; Edition Romans / Nord Drôme; Edition Tarentaise / Maurienne; Beaufortain; Beaufort; Edition Valence / Rhône Crussol / Vallée de la Drôme; Edition Vienne / Roussillon; Edition Voiron / Saint-Marcellin; Saint-Marcellin; Chatte; Vinay; Hautes-Alpes; Isère; Haute-Savoie; Savoie; Bauges; Drôme; Ardèche; Vaucluse; Ain; France - Monde";;FALSE
L'essentiel du sport dans nos régions. Le GF38 toujours invaincu, les adieux de Thibaut Pinot, Grenoble humilie Gap... les infos de ce dimanche 8 octobre;https://www.ledauphine.com/sport/2023/10/08/le-gf38-toujours-invaincu-les-adieux-de-thibaut-pinot-david-guion-vire-par-bordeaux-les-infos-de-ce-dimanche-8-octobre;2023-10-08 06:30:00;France;LeDauphine.fr;Le GF38 fait match nul à Guingamp, Thibaut Pinot dit adieu à la compétition, Grenoble écrase Gap dans le derby des Alpes... Voici l'essentiel de l'actualité sportive régionale de ce dimanche 8 octobre.;"Sport; Fil Info; La Matinale; Galerie Média; Galerie photo; Galerie Sport; Edition Annecy / Rumilly / Les Aravis; Edition Annonay / Nord Ardèche; Edition Bourgoin-Jallieu / Nord-Dauphiné; Edition Chambéry / Aix-les-Bains; Edition Grand Genève / Chablais / Ain; Edition Grenoble / Agglomération; Edition Grésivaudan / Oisans; Edition Hautes-Alpes / Alpes de Haute-Provence; Edition La Tour-du-Pin / Nord-Dauphiné; Edition Mont-Blanc / Arve; Edition Montélimar / Drôme Provençale; Edition Provençale; Edition Romans / Nord Drôme; Edition Tarentaise / Maurienne; Edition Valence / Rhône Crussol / Vallée de la Drôme; Edition Vienne / Roussillon; Edition Voiron / Saint-Marcellin; Isère; Hautes-Alpes; Haute-Savoie; Savoie; Drôme; Ardèche; Haute-Provence; Ain; Vaucluse";;FALSE
France/Suisse. Le Cern ouvre son agora de sciences qui recevra 500 000 visiteurs par an;https://www.ledauphine.com/science-et-technologie/2023/10/07/le-cern-ouvre-son-agora-de-sciences-qui-recevra-500-000-visiteurs-par-an;2023-10-07 20:56:00;France;LeDauphine.fr;Ce dimanche, ouvre le Portail de la science, 8 000m2 d’espaces dans lesquels le public pourra découvrir les travaux du Cern sur les mystères de l’univers, rencontrer les chercheurs et assister à des spectacles. Et en plus tout est gratuit…;"Science et Technologie; Frontaliers; Haute-Savoie; Frontaliers; Ain; Annemasse; Annemasse-bassin; Edition Grand Genève / Chablais / Ain; France - Monde";;FALSE
Savoie - Haute-Savoie - Ain. Résultat négatif, licenciement économique du directeur... La Cinémathèque en pleine crise;https://www.ledauphine.com/culture-loisirs/2023/10/07/la-cinematheque-des-pays-de-savoie-et-de-l-ain-en-pleine-crise;2023-10-07 18:40:00;France;LeDauphine.fr;La Cinémathèque des Pays de Savoie et de l’Ain (CPSA) traverse une crise financière et va quitter Veyrier-du-Lac.;"Culture - Loisirs; Patrimoine culturel; Cinéma; Veyrier-du-Lac; Annecy-région; Edition Annecy / Rumilly / Les Aravis; Annecy; Annecy-bassin; Savoie; Ain; Haute-Savoie; Chambéry";;FALSE
